File name,Path,Last modified,Created date,Last accessed,Size,Level,Inside files,Inside dirs,Created by
info,D:\CODE\Github\currencyConverter\.git\objects\info,2022-12-04 20:12:14.064059,2022-12-04 20:12:14.064059,1970-01-01 04:00:00,0,7,0,0,rusab
pack,D:\CODE\Github\currencyConverter\.git\objects\pack,2022-12-04 20:12:16.252197,2022-12-04 20:12:14.064059,1970-01-01 04:00:00,0,7,2,0,rusab
refs,D:\CODE\Github\currencyConverter\.git\refs,2022-12-04 20:12:16.220950,2022-12-04 20:12:14.048426,1970-01-01 04:00:00,0,6,3,4,rusab
heads,D:\CODE\Github\currencyConverter\.git\refs\heads,2023-01-31 22:32:22.034485,2022-12-04 20:12:14.048426,1970-01-01 04:00:00,0,7,1,0,rusab
remotes,D:\CODE\Github\currencyConverter\.git\refs\remotes,2022-12-04 20:12:16.220950,2022-12-04 20:12:16.220950,1970-01-01 04:00:00,0,7,2,1,rusab
origin,D:\CODE\Github\currencyConverter\.git\refs\remotes\origin,2023-01-31 22:32:09.250426,2022-12-04 20:12:16.220950,1970-01-01 04:00:00,0,8,2,0,rusab
tags,D:\CODE\Github\currencyConverter\.git\refs\tags,2022-12-04 20:12:14.048426,2022-12-04 20:12:14.048426,1970-01-01 04:00:00,0,7,0,0,rusab
Python,D:\CODE\Github\currencyConverter\Python,2022-12-08 00:31:32.774999,2022-12-08 00:31:10.124026,1970-01-01 04:00:00,0,5,4,1,rusab
pics,D:\CODE\Github\currencyConverter\Python\pics,2022-12-08 00:31:36.974892,2022-12-08 00:31:32.774999,1970-01-01 04:00:00,0,6,1,0,rusab
Mini-Python-Projects,D:\CODE\Github\Mini-Python-Projects,2023-01-31 22:31:24.467771,2022-12-04 20:14:54.900023,1970-01-01 05:08:16,4096,4,41,25,rusab
.git,D:\CODE\Github\Mini-Python-Projects\.git,2022-12-04 20:14:56.573761,2022-12-04 20:14:54.900023,1970-01-01 05:08:16,4096,5,27,15,rusab
hooks,D:\CODE\Github\Mini-Python-Projects\.git\hooks,2022-12-04 20:14:54.915648,2022-12-04 20:14:54.900023,1970-01-01 05:08:16,4096,6,13,0,rusab
info,D:\CODE\Github\Mini-Python-Projects\.git\info,2022-12-04 20:14:54.915648,2022-12-04 20:14:54.915648,1970-01-01 04:00:00,0,6,1,0,rusab
logs,D:\CODE\Github\Mini-Python-Projects\.git\logs,2022-12-04 20:14:56.558125,2022-12-04 20:14:56.542501,1970-01-01 04:00:00,0,6,3,4,rusab
refs,D:\CODE\Github\Mini-Python-Projects\.git\logs\refs,2022-12-04 20:14:56.558125,2022-12-04 20:14:56.558125,1970-01-01 04:00:00,0,7,2,3,rusab
heads,D:\CODE\Github\Mini-Python-Projects\.git\logs\refs\heads,2022-12-04 20:14:56.558125,2022-12-04 20:14:56.558125,1970-01-01 04:00:00,0,8,1,0,rusab
remotes,D:\CODE\Github\Mini-Python-Projects\.git\logs\refs\remotes,2022-12-04 20:14:56.558125,2022-12-04 20:14:56.558125,1970-01-01 04:00:00,0,8,1,1,rusab
origin,D:\CODE\Github\Mini-Python-Projects\.git\logs\refs\remotes\origin,2022-12-04 20:14:56.558125,2022-12-04 20:14:56.558125,1970-01-01 04:00:00,0,9,1,0,rusab
objects,D:\CODE\Github\Mini-Python-Projects\.git\objects,2023-01-31 22:42:06.769137,2022-12-04 20:14:54.931268,1970-01-01 04:00:00,0,6,2,2,rusab
info,D:\CODE\Github\Mini-Python-Projects\.git\objects\info,2022-12-04 20:14:54.931268,2022-12-04 20:14:54.931268,1970-01-01 04:00:00,0,7,0,0,rusab
pack,D:\CODE\Github\Mini-Python-Projects\.git\objects\pack,2022-12-04 20:14:56.558125,2022-12-04 20:14:54.931268,1970-01-01 04:00:00,0,7,2,0,rusab
refs,D:\CODE\Github\Mini-Python-Projects\.git\refs,2022-12-04 20:14:56.542501,2022-12-04 20:14:54.915648,1970-01-01 04:00:00,0,6,2,4,rusab
heads,D:\CODE\Github\Mini-Python-Projects\.git\refs\heads,2022-12-04 20:14:56.558125,2022-12-04 20:14:54.915648,1970-01-01 04:00:00,0,7,1,0,rusab
remotes,D:\CODE\Github\Mini-Python-Projects\.git\refs\remotes,2022-12-04 20:14:56.542501,2022-12-04 20:14:56.542501,1970-01-01 04:00:00,0,7,1,1,rusab
origin,D:\CODE\Github\Mini-Python-Projects\.git\refs\remotes\origin,2022-12-04 20:14:56.558125,2022-12-04 20:14:56.542501,1970-01-01 04:00:00,0,8,1,0,rusab
tags,D:\CODE\Github\Mini-Python-Projects\.git\refs\tags,2022-12-04 20:14:54.915648,2022-12-04 20:14:54.915648,1970-01-01 04:00:00,0,7,0,0,rusab
CarCommand,D:\CODE\Github\Mini-Python-Projects\CarCommand,2022-12-04 20:14:56.558125,2022-12-04 20:14:56.558125,1970-01-01 04:00:00,0,5,1,0,rusab
Converters,D:\CODE\Github\Mini-Python-Projects\Converters,2022-12-04 20:14:56.558125,2022-12-04 20:14:56.558125,1970-01-01 04:00:00,0,5,1,0,rusab
DiceRollingSimulator,D:\CODE\Github\Mini-Python-Projects\DiceRollingSimulator,2022-12-04 20:14:56.573761,2022-12-04 20:14:56.558125,1970-01-01 04:00:00,0,5,2,0,rusab
first1000last1,D:\CODE\Github\Mini-Python-Projects\first1000last1,2022-12-04 20:14:56.573761,2022-12-04 20:14:56.573761,1970-01-01 04:00:00,0,5,1,0,rusab
Folder organization,D:\CODE\Github\Mini-Python-Projects\Folder organization,2023-01-31 22:40:16.678373,2023-01-31 22:31:11.858888,1970-01-01 04:00:00,0,5,2,0,rusab
GuessNumber,D:\CODE\Github\Mini-Python-Projects\GuessNumber,2022-12-04 20:14:56.573761,2022-12-04 20:14:56.573761,1970-01-01 04:00:00,0,5,2,0,rusab
MaxofArray,D:\CODE\Github\Mini-Python-Projects\MaxofArray,2022-12-04 20:14:56.573761,2022-12-04 20:14:56.573761,1970-01-01 04:00:00,0,5,1,0,rusab
RPS,D:\CODE\Github\Mini-Python-Projects\RPS,2022-12-04 20:14:56.573761,2022-12-04 20:14:56.573761,1970-01-01 04:00:00,0,5,2,0,rusab
worldMap,D:\CODE\Github\Mini-Python-Projects\worldMap,2022-12-04 20:14:56.573761,2022-12-04 20:14:56.573761,1970-01-01 04:00:00,0,5,2,0,rusab
